Skill,RecommendationID,InJobSkills,,,,,,,,,,,,,,,,,
C++,1,C++,,,,,,,,,,,,,,,,,
Collaboration,1,Collaboration,,,,,,,,,,,,,,,,,
Collaboration,7,Collaboration,,,,,,,,,,,,,,,,,
Communication,1,Communication,,,,,,,,,,,,,,,,,
Communication,2,Communication,,,,,,,,,,,,,,,,,
Communication,3,Communication,,,,,,,,,,,,,,,,,
Communication,4,Communication,,,,,,,,,,,,,,,,,
Communication,5,Communication,,,,,,,,,,,,,,,,,
Communication,6,Communication,,,,,,,,,,,,,,,,,
Communication,7,Communication,,,,,,,,,,,,,,,,,
Communication,8,Communication,,,,,,,,,,,,,,,,,
Communication,11,Communication,,,,,,,,,,,,,,,,,
Communication,12,Communication,,,,,,,,,,,,,,,,,
Critical Thinking,1,Critical Thinking,,,,,,,,,,,,,,,,,
Critical thinking,6,Critical Thinking,,,,,,,,,,,,,,,,,
Critical thinking,7,Critical Thinking,,,,,,,,,,,,,,,,,
Data analysis,1,Data analysis,,,,,,,,,,,,,,,,,
Data Mining,4,Data mining,,,,,,,,,,,,,,,,,
Data Mining,1,Data mining,,,,,,,,,,,,,,,,,
Data modeling,3,Data modeling,,,,,,,,,,,,,,,,,
Data modeling,1,Data modeling,,,,,,,,,,,,,,,,,
Data Visualization,1,Data visualization,,,,,,,,,,,,,,,,,
Data Visualization,2,Data visualization,,,,,,,,,,,,,,,,,
Data Visualization,3,Data visualization,,,,,,,,,,,,,,,,,
Data Visualization,5,Data visualization,,,,,,,,,,,,,,,,,
Data visualization,7,Data visualization,,,,,,,,,,,,,,,,,
Data Visualization,8,Data visualization,,,,,,,,,,,,,,,,,
Data Visualization,9,Data visualization,,,,,,,,,,,,,,,,,
Data Visualization,11,Data visualization,,,,,,,,,,,,,,,,,
Data Wrangling,1,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,2,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,6,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,1,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,4,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,5,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,7,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,9,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,10,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,11,Data wrangling,,,,,,,,,,,,,,,,,
Data Wrangling,11,Data wrangling,,,,,,,,,,,,,,,,,
Hadoop,1,Hadoop,,,,,,,,,,,,,,,,,
Hadoop,11,Hadoop,,,,,,,,,,,,,,,,,
Hadoop,12,Hadoop,,,,,,,,,,,,,,,,,
Hive,11,Hive,,,,,,,,,,,,,,,,,
Java,1,Java,,,,,,,,,,,,,,,,,
Java,9,Java,,,,,,,,,,,,,,,,,
Machine Learning,1,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,2,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,3,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,4,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,5,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,6,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,7,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,9,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,10,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,11,Machine learning,,,,,,,,,,,,,,,,,
Machine Learning,12,Machine learning,,,,,,,,,,,,,,,,,
MATLAB,1,MATLAB,,,,,,,,,,,,,,,,,
MATLAB,9,MATLAB,,,,,,,,,,,,,,,,,
Microsoft Excel,1,Microsoft Excel,,,,,,,,,,,,,,,,,
Microsoft Excel,8,Microsoft Excel,,,,,,,,,,,,,,,,,
Microsoft Excel,9,Microsoft Excel,,,,,,,,,,,,,,,,,
Microsoft Excel,10,Microsoft Excel,,,,,,,,,,,,,,,,,
NoSQL,1,NoSQL,,,,,,,,,,,,,,,,,
Problem Solving,1,Problem Solving,,,,,,,,,,,,,,,,,
Problem Solving,4,Problem Solving,,,,,,,,,,,,,,,,,
Problem Solving,5,Problem Solving,,,,,,,,,,,,,,,,,
Problem Solving,6,Problem Solving,,,,,,,,,,,,,,,,,
Problem Solving,7,Problem Solving,,,,,,,,,,,,,,,,,
Programming,2,Programming,,,,,,,,,,,,,,,,,
Programming,3,Programming,,,,,,,,,,,,,,,,,
Programming,5,Programming,,,,,,,,,,,,,,,,,
Programming,7,Programming,,,,,,,,,,,,,,,,,
Programming,11,Programming,,,,,,,,,,,,,,,,,
Programming,11,Programming,,,,,,,,,,,,,,,,,
Python,1,Python,,,,,,,,,,,,,,,,,
Python,4,Python,,,,,,,,,,,,,,,,,
Python,8,Python,,,,,,,,,,,,,,,,,
Python,9,Python,,,,,,,,,,,,,,,,,
Python,10,Python,,,,,,,,,,,,,,,,,
Python,12,Python,,,,,,,,,,,,,,,,,
R,1,R,,,,,,,,,,,,,,,,,
R,4,R,,,,,,,,,,,,,,,,,
R,9,R,,,,,,,,,,,,,,,,,
R,10,R,,,,,,,,,,,,,,,,,
R,11,R,,,,,,,,,,,,,,,,,
R,12,R,,,,,,,,,,,,,,,,,
SAS,1,SAS,,,,,,,,,,,,,,,,,
SAS,11,SAS,,,,,,,,,,,,,,,,,
Scala,9,Scala,,,,,,,,,,,,,,,,,
SQL,1,SQL,,,,,,,,,,,,,,,,,
SQL,5,SQL,,,,,,,,,,,,,,,,,
SQL,9,SQL,,,,,,,,,,,,,,,,,
